clause	polarity
麻烦再人性化一些，比如多几个储物格，中控台液晶屏等等。	1
东风风神H30在改版之前，是一款两厢家轿。整体给人比较时尚的感觉，	5
采用法国标致世嘉公司出品的PSA1.6排量的发动机。	5
油耗方面还是比较有优势的，作为家用车，完全没问题。	5
总体来说，这款车在同等价格车型中来说，性价比算是比较高的。	5
她新颖的造型，适中的价格是我的最爱。	5
也博的了全家人的欢喜。	5
欣喜之余，磨合期我却发现小排量节油型的路宝车的耗油量竟达到了10L/百公里	1
我的凯越已经半年了，总体感觉很不错，	5
外观还是很漂亮，空间也比较大，乘坐舒适性也不错，我的手动操控也很轻松自如，	5
对于大家关心的油耗问题，我半年来感觉油耗真的不高，算来估计在5-6角/公里，	5
凯越车在同级别同价位车中应该说得上是精品了！	5
操控性非常灵活，	5
内饰也很简单明了，	5
MG3的这一点跟之前试驾的北汽E系列非常像~	5
油耗方面也算是可以接受的范围~	5
整体感觉不错，驾驶这车在路上会轻松~	5
是我目前开过的同级车中，内饰最精致的，没有之一，	5
做工质量人人看得到，很给力的说。	5
身边的朋友只要坐过我的车的，都说很赞，	5
选大思绝对没错。	5
首先我满意它的动力部分，市区内同级别秒之。	5
心仪这款1.6THP发动机很久了，动力是很棒的，	5
空间也是很不错的家用是很轻松的，	5
全家出行是很轻松的。	5
大众CC经历了半年的考验，口碑越来越好，关注程度越来越高，	5
其性能优越，外形漂亮，内饰豪华，安全系数高，是绝对好车。	5
这车性能、尺寸、配置等各方面都不错，或者够用。	5
但就是车头（车脸）做的太难看。	1
特别是俩眼，咋看都丑。	1
咱周围有太多的人对这车都是这评价。	1
目前开了大概800多公里，加了一次油，算下来百公里平均8.3升油左右，非常省油，	5
操控性就不用说了吧，虽还在磨合期，可谓脚到车到，	5
底盘让人感觉特别有信心，传递的路感很清晰，人车交流很直接。	5
买车一年了，大事没有，小毛病太多，	1
收音机不能用。	1
门锁灯开关老坏。	1
油耗没有想象的低，	1
而且提速时发动机声音大。	1
售后太差劲。	1
低配没有电防盗系统，	1
全系列没有发动机	1
防盗系统没有行车电脑，	1
1.3L配后鼓杀，价格定位太高，不如奇瑞E3.	1
挂档的感觉很好，	5
变速箱一、二挡都采用了三锥面同步器，频繁挂挡也很轻快，	5
离合器也很轻，	5
在市区内堵车时感觉就特别明显了，	5
这都比老款改进了不少	5
不错的，中央扶手后面还有一个充电座，以前后排人员想充电很不方便，现在可以了。	5
细节部分做得还是挺好的。	5
唯一感觉视野不够高。	1
外观炫酷，座椅的包裹、支撑非常到位，	5
通过性足够，9AT在行车时基本上感觉不到换挡的顿挫，	5
配置全面，优越款该有的全有了，	5
不满意的一是座椅加热和收音机不能在设置里调节，每次上车都需要手动关；	1
后视镜不能停车自动折叠。	1
个人觉得福田皮卡还是不错的，	5
不管从品牌效应还是厂方实力来看都是过硬的。	5
其中拓路者的外形较为霸气、有高端皮卡等驾乘感受，	5
动力强劲，空间较大，值得选购	5
我觉得我家迈腾油耗超级好。	5
迈腾1500公里的平均油耗10.1L（开空调），比我以前的红宝省油10%。	5
安全配置，空间，舒适度，外观，隔音远好于试驾车，	5
操控性能是很不错额，舒适性也是很好的，性价比也是很好的，总体不错。	5
相比同类车型，H5长宽高及轴距都小于同类别产品，灵活度那是相当滴高哇。	5
在交通拥挤及路线纵横的路况下也能轻松通行。	5
对车顶曲线设计、座椅排序、内饰配色等设计上的运用也比较科学，	5
乘坐舒适性好。	5
外观还过得去，	5
1.6动力真心不行。	1
油耗还高7.5_8.0。	1
售后很差，服务不到位。	1
炮筒式的仪表盘已为常见之物，没有带来太多的新鲜感，	1
而它的这套仪表盘最具特色的地方则是在于显示的信息丰富和冷蓝色的灯光带来了不错的视觉效果。	5
爱琴海蓝颜色的增加，算是新款C2的一大亮点。	5
C2的车型比较饱满，	5
车身整体流畅，看上去很有运动感。	5
新增加的爱琴海蓝色，看起来非常有活力，动感而且时尚，	5
新小虎重新恢复了1.6L手自一体的款式，这让C2在动力和款式上增强了很多优势。	5
用车挺久了，快半年了，最满意的还是思域的中控，设计合理大气，	5
双层的仪表盘我很喜欢，因为看得时候很方便，这样的话还更安全，不用低着头去看，	5
按键啥的设计清晰明了，赞一个。	5
爱丽舍的各项配置都很齐全，	5
在变速箱方面，有5挡手动和4挡自动两种型式可供选择，两款变速箱技术都很成熟，	5
换挡时顿挫感较小，开起来很舒适有感觉。	5
运动版相比老款确实好看多了，	5
比如方向盘，轮毂都改得不错，	5
配置也增加了，比如胎压监测，	5
希望运动版能有两种内饰可选，因为全黑内饰有时给人压抑感。	3
内饰设计有待改进，比如空调按键，音量按键改成旋钮更好。	1
大通外观秀气，看着非常顺眼，	5
车内空间大，视野好，驾驶舒适性非常不错，	5
动力性超赞，跑沪宁高速最高开过160，一路超宝马超奔驰，	5
高速油耗平均下来也就8升左右。	5
这款车高颜值，低油耗，动力足，	5
虽然也有不完美的地方，但是可以接受，	5
选择它，我不后悔，觉得很值！	5
去看一下江淮瑞鹰吧，我小舅子今年刚买的这一款，空间不仅大而且灵活，宽敞实用，储物能力非常好，	5
把后排座位倒下，空间就更大了。	5
对于有空间需求的车主非常适合，	5
而且这款SUV操控性能也不错，	5
噪音小，不像一些SUV有很大的机械噪音。	5
这车非常智能，灯光和雨刮基本可以不用你去操心的了，	5
语音导航真的很好，一边开车一边打开导航非常安全，完全不用用手去操作，只管开好你的车就好了。	5
全景摄像头对于我这样的新手非常实用，再也不用担心倒车入库等问题了。	5
动力强、起步快、超车快，	5
还有就是维修保养较其他同级别车便宜，	5
底盘相对较高，	5
过坑洼路面相对比较容易，	5
尤其到农村的土道路上，老家在农村所以经常回家。	5
我进入车内空间坐了下，感觉到了日系车的气味——恶心的化工味，	1
而内部做工更是粗糙，真皮座椅的针线都不是很均匀、细腻。	1
这车的价格在我的经济预算范围之内，同价位的车型中性价比较高，	5
操控上手，动力充足，空间合适，	5
综合对比很合适的一款车，	5
基本上没有什么大的问题，还算满意。	5
刚上手一周就出现问题了，	1
左右转向灯没有声音，倒车也没有BB的声音了，	1
加装升级版的导航后，问题多多，	1
一就是导航死机，	1
一就是有音乐没左右转向和倒车声，	1
4S店的人也没有人回应，	1
雪佛兰的服务态度就这样了吗？	1
第一眼看到猎豹CS10的车就知道我的车一定是它了！	5
这个车颜值高，外观大气，价格实惠！	5
是不错的选择，	5
看过很多国产车，最终还是对猎豹情有独钟。	5
我看F3已经好长时间了感觉这样的价格、这样的配置还算值。	5
我认为F3美中不足是这车太长，4米5，以后小区里非常拥挤，停车倒车不方便，	1
要是有金刚和车长就好了。	1
再者白金版标准型缺点东西，那就是安全气囊。	1
希望09年改进款把这项加上，也让百姓更觉实惠些！	3
最满意的应该是他的外形了，	5
另外这个车虽然看起来小，但是在同级别里面轴距达到2655，全是最长的了！	5
不满意的是内饰欠佳	1
看看这派头！大气十足！给咱中国人挣了口气！	5
“驭天下，胜在心”全车身长将近5米，离地间隙也比较大，越野性能十足，通过性强！	5
前车灯是一部车的灵魂，灵性十足鹰眼灯宽大	5
轮胎无论是抓地力还是排水性，无论是莲花造型还是稳定行都是不错的	5
座椅的舒适度相当赞，	5
车内氛围营造得很棒，坐进去就会让人安静地去享受。	5
不要小看后排的两个小靠枕，靠上去直接就舒服到不想起来！	5
细节决定成败！	5
不满意的是车底下传出来的声音，听着很别扭。	1
海马车的标志实在是不好看，	1
这款骑士的内饰做工方面来讲真的太差了！	1
至于价格嘛，应该在10左右一点还差不多！	1
售后维修服务质量实在是需要提高一下了。	1
优点：外观流线造型，比例搭配适当，感觉很舒服。	5
缺点：与迈腾相比，除了外壳变化和内饰不同外，其它大同小异，	1
可谓换汤不换药，价格却高出不少，相信买的人的是虚荣心在作怪！	1
外形很时尚。媳妇开着也很舒适，	5
最主要的是空间大，前后座都很舒适。	5
价位也不贵，我觉得对新手来说真的是一个不错的选择。	5
年买了荣威350讯豪版的，前前后后花了将近十四W。最突出的有点是配置，觉得这个版本的配置很齐全，	5
GPS，胎压监测，稳定系统，蓝牙，感应雨刷，8SP扬声器，都很好用！	5
而且中控台是触屏，很多功能都用触屏实现，很方便！	5
今天去4S店看了车子之后总体感觉：悦动没有想像中的好。	1
我不太懂什么性能，在内饰方面还是比较满意	5
但是打开后备箱之后看到放备胎的那个怎么是个什么垃圾板。	1
从来没看到这样的，	1
然后看看发动机那块线路有点的乱线头都掉出来了。	1
塑料感很重	1
外观比较亮眼，流线型好，	5
轿跑型细节部分处理的不是很好，	1
车内的部件手感上感觉没那么好，	1
瞬时油耗不是数字的，是个指示盘，只能知道大概的瞬时油耗。	1
作为MG的粉丝，每辆车都有关注，MG6总体来说动力是比较强劲的，	5
外观很大气，	5
就是价格对于我来说有点小小接受不了。	1
开始关注酷威的时候正好是旅行版上市的时候，亲眼去4S店看过之后就被酷威给征服了，	5
这半年的感受就是动力不错，	5
操控很稳，安全性高，	5
这些美国车的优点都还在，	5
另外油耗不算很高，	5
还有自带儿童座椅这些配置都很人性化，	5
感觉自己当时选酷威没有错！	5
最满意的其一是宝马家族引以为傲的操控性，坐上去摸着方向盘感觉就不一样，	5
方向我觉得轻重得当的很是巧妙，过弯的时候基本指哪到哪，速度起来的时候车身也比较平稳。	5
其二自然就是动力了，28的动力已经非常给力了，秒杀市区百分之85的车子不在话下。	5
当然没有任何是完美的，最不满意就是老美的制作工艺了，	1
比起日本的精细还是显得有些粗糙，	1
但是只要老婆喜欢也就够了。	5
小二的外观是我和媳妇最满意的，	5
小越野，底盘高，坐姿比较高视野开阔，	5
两厢充满活力，前脸看起来是最巴适的刚劲有力，	5
油耗低，性价比高，用着合适，值得购买。	5
外观时尚，动力充沛。内饰简洁紧凑，	5
内部空间相比较同排量车型算比较充裕	5
第一次看到思铂睿就被它吸引了，试驾过操控很棒，	5
高速刹车，高速过弯非常稳。	5
有人说日系车不安全，我想开坦克也可能撞死，必竟开车不是来撞的，还是要看车主的安全意识。	5
现在这个车优惠也蛮大的，	5
这个价格买这样的车，现在来说，性价比还是蛮高的。	5
安全、经济是选这车的主要原因。	5
这个品牌在国产当中还算不错，	5
底盘技术过硬；	5
外观设计出众，	5
但愿不会出太多的小毛病，有问题积极处理就好，	3
操控好！	5
动力足够，变速箱比同级别的兄弟品牌车型给力的不是一点点！	5
无论是加速，变道超车、高速过弯等，真的是指哪打哪！	5
因为我的是328iM，所以加速感应该完爆我的另一台车子！	5
我的感觉就是舒适。	5
真皮座椅包裹，就像家里的沙发一样，坐着很舒服。	5
空间又大，开久了也不会觉得很累，还可以躺着睡觉。	5
车子的操控也还是不错的，	5
总之很棒！	5
车型还是那个经典的车型，这点还是很喜欢的，	5
内饰稍有不足，但还是很齐全，	5
不过现在2012款的8.68万高配版的很不错，	5
真皮座椅+天窗，还是很给力的	5
刚提车两天，觉得这个价位国产车里没车能比，	5
小三的关门声音很闷，听上去就像高档车，	5
隔音效果也不错，	5
再开两个月准备交作业，希望小三不要让我失望。	3
首先是外观，很不错，养眼吸睛；	5
油耗比想象中的低好多，优出预想，本以为得9以上呢，	5
空间大，孩子坐的很舒服，安全舒适，大气。	5
反正是我的最爱！	5
不满意的车内的功能性不是很丰富，	1
总体上来说性价比什么的都比较高了。	5
前段时间去看车，这款索纳塔八跟同级车比起来是相当不错了，	5
外观和操控性都很好，	5
设计的很到位，	5
开着就让人放心！	5
购车2个月了，非常满意，支持一下。	5
外观非常的漂亮大气。	5
油耗也很满意，	5
不好的就是发动机声音，有点大了，	1
不过国产车，可以理解。	5
对于家庭代步微轿，还可以胜任了。	5
新款b50，钣金太薄，	1
发动机噪音很大，就像开拖拉机一样，而且还有异响，减震还硬。	1
买回来一个心病。闹心啊！	1
最近上高速时，开120竟然抖的很明显，	1
不知什么原因，真郁闷啊。	1
还有就是此车噪音较大，动力不如老款。	1
建议大家想买时要考虑清楚。	1
东风小康V27确实是款很有特色的微车，	5
这款车不但外形越野而且安全性能极高，通过性能极强。	5
整车在不同路段都有超凡的发挥！	5
动力强劲是你创业的优秀帮手	5
整个驾驶舱几乎可以与思域相媲美，十分简洁大方，科技时尚。	5
杰德全系都使用我最爱的木纹材质，内饰档次立马不一样，	5
就喜欢这种科技与稳重的结合。	5
总体来说还算不错。	5
车的设计吸收了当前最流行的设计风格和元素，	5
造型威猛彪悍、时尚、现代。	5
整体车身圆润大气，线条优美舒展，视觉冲击效果比较强。	5
逸动XT总体了来说比较满意	5
外观时尚动感，	5
相对来说1.6L动力偏弱自重偏大，但上下班可以接受	5
居家旅行满足要求	5
主要是性价比方面比较高。	5
从凯美瑞的内饰来说，最漂亮的要数仪表盘了，不管白天还是黑夜，都是那么清晰。	5
不是我夸口，仪表盘比我朋友的皇冠的还漂亮！	5
坐椅也不错，包裹性好，舒服。	5
空间和外型都是很不错的，	5
空间非常大视野非常开阔清晰，	5
外型汹涌威猛，	5
动力也是很不错的，不管是市区还是高速都是很不错的，	5
舒适性和内饰我感觉都是很满意的。	5
不满意的一是尾车灯不是很好看。	1
我也看过不少车型，不过最后还是选择了这款风云2，	5
外观大气，空间宽裕，	5
最重要的就是动力也很强劲，	5
非常的棒哦，一般车都追不上我列，哈哈。	5
空间对于我这个两口之家来说是够用了，基本不用后排空间。	5
前排空间比我想象大，	5
除了空间大感到舒服外，这车没什么舒适可言吧，	1
一开始被朗动的外形吸引，但是价格和配置一出来，心里不得劲啊！	1
除了豪华型其他的配置都不行，	1
而且安全系数也不行啊！	1
略微有点小失望！	1
基本型没天窗，座椅似乎有些薄、硬。	1
似乎是前面的人调的座位不合适，坐得有些别扭，	1
视野不好：一个是车头显大，似乎有开普桑的感觉，	1
再一个座椅并没有象索兰托那样包着我，让我很舒适的“陷”在座位上。	1
车子先上坡马上下坡会有异响，	1
1万公里轮胎侧面开裂，之前报发动机故障，	1
行车电脑显示油耗7.4，实际油耗应该更高，	1
以后换车不可能考虑这牌子了	1
胎噪可以说是花冠最差的地方，真的不行。	1
而且底盘薄，石头打在上面也比较响。	1
如果车身在厚一点可能静音效果会好一点。	1
七代凯美瑞我刚买回，感觉还可以，	5
就是有些小毛病：噪音大了些。	1
买回来遥控钥匙打不开后备箱，当时下雪着急回家没有试用。	1
车载蓝牙设置不了。	1
优点：空间大、时尚、大气、	5
提速也还可以，减震舒服。	5
外观是很拉风的，看着是很经典的设计，	5
动力很强劲，	5
轮毂和车的造型是很相符合的，	5
操控、舒适性都是很不错的，	5
空间也是很大的麻痹很多的同级车强多了	5
对于小四，我最先看好的就是它那动感时尚的外观，真的让我很着迷，	5
后来试驾以后，觉得动力方面也没有让我失望，	5
还有内饰的材质也是环保材料，坐在里面多久都不会有异味，	5
总之这款车是我平时买的第一台车，也是我最钟爱的，	5
选择小四，我不后悔。	5
今天去4s店，本来以为只能试乘，结果被告知可以试驾，	5
先看了车的外观和内饰，功能配置超多，	5
外观不错内饰也很不错，很时尚。	5
诚恳告诫各位网友及将要买车的朋友，此车存在诸多的问题，	1
尤其是自动档，经常无法加速，	1
声音也大，	1
4S店的技术也不咋地，	1
换换小件还行，但主要的问题就不知道解决了。	1
汉兰达的内饰特别精致，都能比得上一辆高档轿车了。	5
双色的仪表板、桃木的适时点缀、米色的座椅，给我一种温馨的家的氛围。	5
感觉内饰不错，	5
试了一下自动，在车场兜一圈，感觉方向很轻，不算厚重；	5
自动档反映适中，估计红绿灯起步应该没问题。	5
过减速带，感觉减震很有劲	5
外型最引人注目。	5
虽为小型SUV，但造型大气，不失SUV应有的俊朗。	5
不满意的是内饰都是塑料，	1
自动挡是4AT，虽说动力家用足够，可是油耗却被这个托了后腿。	1
雪弗兰景程很特别，	5
车很不错，价格非常实惠，	5
景程实际定位于中级轿车，就是和凯美瑞，雅阁对抗的车子，自然外观稳重大气，	5
空间也十分大，	5
内饰方面也有几分稳重感觉，	5
花冠起步非常迅猛，	5
离合器和油门很灵敏，	5
挡位清晰，有吸入感，转弯半径小，在城市中显得非常灵活，调头很轻松。	5
外观太亮眼了，特别的上档次的车，	5
我也是为它的性价比买的，也为养车省钱省心买的，	5
何况它还是新能源车，买车有补助的。	5
2010年买的V3，小毛病不断。	1
刚开了4000多公里仪表就坏了，接着是大灯，接着是底盘。	1
那叫个郁闷啊。	1
而且4S店的有点乱收费的。	1
真后悔买这车	1
这车主要用于家用还是不错的，	5
超大的空间，只要不是太胖后排坐上4人也不会感觉挤	5
该有的配置都有了，	5
高速的稳定性也相当不错，	5
2.0L的动力在市区和高速的综合油耗在10L左右，相对还是非常满意的。	5
这车的操控、动力和配置都相当不错，	5
家用还是非常实用的，	5
外观内饰都不错，动力性也挺好。舒适性也不错。	5
就是方向盘偏重，如果厂家给按个助力（免费）就完美了。	1
外观漂亮，性价比超高，	5
车子的调校兼顾了低速时扭距输出和高速的燃油经济性，适合家用，	5
三档后动力输出充足、线性，能获得不错的加速感受。	5
不满意的是胎噪了吧，	1
玲珑胎实在是不好用，还容易夹小石子。	1
质量差，毛病多，售后服务太差，	1
我的风骏5跑了5万来公里，还在保修期，发动机大修两次了，	1
售后不给保修，且态度恶劣，想买车的朋友不要买长城车	1
家用但是追求动力，选择了1.4T的，确实比1.6提速快多了，	5
加上比1.6优惠的多，所以两款配置的价位差不多了，	5
油耗也不高，	5
在市区平时开开也就7个油，上高架的油耗也就在5个油左右，很满意。	5
其他都还好，就是有响声就忍受不了。	1
减震器响声，车门响声，胎噪，现在还能听到动力里面的运转声，	1
这密封隔音效果就是渣渣	1
内部空间很大，整车给人一种C级车的感觉，	5
和老婆坐在后排，看前排的驾驶位置都感觉很宽阔，	5
坐起来也伸得开腿，不用太拘谨，	5
各方面都还满意。	5
发动机的动力、油耗、驾驶的舒适性等还是比一般的长城、中兴、福田等好！	5
就是小毛病太多，只能说明江铃越来越不负责、越来越粗制烂造！	1
有了我的旗舰版V3菱悦以后，感觉生活有了质的飞越，上下班不用挤公交车啦！	5
最主要的还是小3的外观，底盘，刹车都是相当不错的，	5
买这车是绝对不后悔的。	5
爱琴海蓝颜色的增加，算是新款C2的一大亮点。	5
C2的车型比较饱满，	5
车身整体流畅，看上去很有运动感。	5
新增加的爱琴海蓝色，看起来非常有活力，动感而且时尚，	5
2012款的C2，重新恢复了1.6L手自一体的款式，这让C2在动力和款式上增强了很多优势。	5
外观可爱，适合女孩子开，	5
不过毕竟是廉价的车型，配置不是很好，	1
给我的感觉尾部屁股不好看。	1
内饰后座坐起来感觉很憋气，	1
后窗口希望是以后改动的一部分。	3
变速箱附近有``趴趴''的象石子打的一样的响声，	1
停车的时候也有。	1
响过后要么空调出热风了，要么冷风又不打了~	1
车的配置也相当丰富，	5
电子手刹，胎压监测，一键启动...在这个价位的车配置也不算低了。	5
买车也有段时间了，各方面操控也挺顺手，还是很满意的。	5
这款车135的最小离地间隙对于紧凑车型来说通过性已经算很好了！	5
发动机也不差至少是双DVVT的，	5
就是不是直喷的有点可惜。	1
开瑞优雅是我13年2月份入手的，是做生意拉货的，用起来使得心应手，很是不错，	5
外观够漂亮，操作很方便，舒适度也高，	5
希望更多朋友能来感受下	3
整体来说我觉得浪迪的空间是它的最大优点，	5
其次来说它的外表在车型当中也是别具一格，	5
内饰也还好。	5
1.2L的发动机的油耗还是能叫人接受的，	5
外表成熟威猛，内部空间舒适，商用的话空间绝对给力。	5
希望量产以后后排能安其他装个出风口和点烟器。	3
最次来个点烟器也行按车载MP4用。	3
其他配置h530都有了还算满意。	5
家里一直都觉得是款性价比不错的车。	5
很安静。底盘的过滤能力很优秀，与比较常见的三四十万的车相比没有明显差距。	5
我加价买的，是18寸大轮毂，	5
轮胎较薄，支撑能力加强了，并没有明显的牺牲舒适性。	5
刚试驾第七代，时速过八十时发动机声音很大，	1
我同一天在相同路段试驾了天籁，隔音确实不如天籁。	1
车子外观内饰都很好，低速时很安静。	5
品牌，空间，操纵确实很好，	5
外观也很拉风，	5
回头率非常高啊！	5
虽然现在满大街都是，但毫不影响大家对他的关注。	5
尤其是天使眼很具杀伤力，年轻人开很不错。	5
内饰蛮不错的，	5
天窗也很好。	5
外形非常好看，	5
但是，做工还有待提高，前舱盖左右的缝一个大一个小，	1
提速太慢，车的档把一直发抖	1
天窗刚开始没声音，现在遇到颠的时候会有挤压的声音。	1
车内声音是一直都有，缝线是好多地方不爽，	1
特别是真皮坐垫还是拉链式的，像后装的，一点不服贴	1
我当初买睿行看上的就是睿行的空间和动力，	5
动力真的可以，东安三菱的发动机，动力表现的非常的好，挺不错的，	5
其次就是空间，大空间，坐人，装货都没有问题，	5
座椅是可以拆卸的，这个真的非常的好。	5
东标408车皮真厚，	5
油漆不错，高耐腐蚀性能，随便的的蹭一下都没事滴。	5
内饰搪塑面料，手感不错，上档次些。	5
远近光灯，一体，很不地道，	1
没有近光灯，灯光效果不好，音响只有两个，真差那两个喇叭吗？	1
很不明智的选择，同等国产里油耗最高的，怎么和人家竞争？	1
实在的内饰装饰	5
德国人给一般人的印象，就是做事情严谨、实在，	5
虽然有时候缺少浪漫情怀，不过在需要实实在在做事的时候，德国工艺总是能让人信赖。	5
欧宝新雅特的内饰设计，就给人这样子的感觉，质感朴实，扎实度佳。	5
不管在组装质量，还是用料的细腻度方面，都让人放心。	5
不过简单朴素缺乏设计感的缺点，却无法避免。	1
博越在自主品牌里面绝对有一席之地的，感觉配置完胜20万内任何品牌，	5
做工细致，真皮超级舒服，	5
设计不能说最美，但属大方。	5
这价格这配置绝对值得入手	5
买车的时候也不怎么懂怎么选，主要是老婆喜欢	5
开了2个月，现在感觉这款车的性价比还可以，	5
尤其是做工不错，	5
1.5T的动力也值得称道。	5
外观大气，富于动感，屁股上翘，很有看点，在街头一眼就能发现它的与众不同。	5
操控性真叫爽，指哪打哪。	5
音箱音质不错。	5
喜欢铃木品牌，13年底赶上优惠果断入手1.6老款三厢的，	5
跑起来后方向盘很稳，	5
因为还在磨合期，发动机声音时有呼噜声，	1
希望首保过后能好点。	3
我进入车内空间坐了下，感觉到了日系车的气味——恶心的化工味，	1
而内部做工更是粗糙，真皮座椅的针线都不是很均匀、细腻。	1
每一个买思域的人都有个中控情结，真的很漂亮的中控，	5
造型非常的科幻，双层仪表盘让人的一瞬间就能爱上。	5
传说中的开飞机的感觉啊，真心不错。	5
首先刹车灯常亮是个问题，	1
其次视野不太好，特别是在倒车时候，	1
还好有倒车雷达。	5
小车还在磨合中目前发现的两个小问题。希望厂家能快点解决。	3
开了850多公里了，在高速上100码还可以。	5
启动后在怠速状态下，感觉偶尔车身在颤动。	1
另外前排坐椅之间没有贮物盒，东西没处放。	1
发动机异响，	1
变速箱漏油。	1
开了一年多修了三次，	1
便宜是便宜，做工粗糙就不说了，	1
但像发动机这么重要的也不靠谱。	1
买了后悔。	1
除了后座略低并有点软外，基本挑不出什么毛病，	5
行驶中发动机声音均匀很小，	5
方向指向灵敏，操作格外方便。	5
用它拉货，2.4米长1.2米宽的板材都能装，真是棒极了。	5
空间大，不论是老婆平时上街采购或下超市扫货，还是全家去郊外游玩，从没担心过东西装不下，	5
我觉得这车很适合一家三口使用，乘坐空间很大，坐起来很舒服。	5
减震不好，路况差的时候舒适度差。	1
总体还不错	5
价格与性能一般，	1
油耗一般吧。	1
总体来说都是一般。	1
没有可比性啊。	1
我的荣威550已经陪伴我九个多月了，自己的感觉是非常满意，	5
外形很大气，	5
内饰更是自己觉得很自豪，	5
那中空仪表盘，都很值得欣赏	5
座椅还是有点小，我这种大个子，座久了，屁股麻！	1
我老爸有次来广州坐了后排，说了句很经典的话，这车后排座椅好像火车的硬板。	1
呵呵，太单薄了啊！	1
小奔不错，我开啦一年多没有出过什么毛病，	5
动力还可以，空调不错，	5
市区油耗5.6上高速5.0，就是皮溥了点，	1
几万元的车能做成这样以经很不错啦.	5
一个月开总体感觉还不错，可能也因为本人没开过好车，所以没有对比吧。	5
首先内部空间不错，坐五个人不显太挤，	5
动力也比较足，超车时提速还行。	5
车辆整体做工也还不算太粗糙，	5
总之，作为入门车型我觉得还是不错的。	5
12款宝来开过一段时间，应该不错。	5
车子操控性不错，挺省油（手动，时尚）	5
但内饰比较一般，	1
还有就是漏风。	1
其他挺满意。	5
性价比非常高，	5
5万的车没有哪款比得上，吉利在国产品牌是个老牌子值得信赖，	5
工艺比以前有很大进步	5
配置也多车也蛮时尚。	5
当初看了这几点决定买的。	5
之所以买这款车其实奔着外形去的，	5
当时看中这款车就是我的心被外观给勾走了，	5
后来试驾后感觉不错，价格合理，就选择了这款车！	5
怠速时非常安静，	5
高速上风噪也能接受，	5
但胎噪较大。	1
为了舒适把胎压降到了2.5。但是感觉费油了些，	1
总体感觉不错，	5
外观时尚大气，	5
油耗9个多可以啦，比h613个油强多了，高速上7个多	5
最值的赞的就是后座全能放平，这个对于喜欢玩车震的朋友们可真的太方便了	5
至于为什么会选这款车，大部分原因还是因为价格吧，	5
在网上了解了SR7以后，觉得就外观和配置来说，我很满意	5
最满意的一点，外出郊游这车的后备箱空间很充裕，	5
这款车的SUV内部空间大，后备箱也能放不少东西，假期跑个小长途带上行李啥的没问题。	5
中控屏有点小，行驶过程中看中控屏上的信息有些不方便。	1
1.5三菱发动机我个人认为显得有点小，起步的时候有点迟缓，	1
如果换成1.8的可能更好些！	1
众泰汽车我看重的并不是品牌，而是他所带给我的实用性、三菱发动机、宽敞的空间、大气的外观和新颖的内饰，	5
高高到我家也有半年的时间了，车子不光外观看着漂亮，内部配置齐全。	5
动力的表现也是相当不错的。	5
虽说平时都是在市区开，可是偶尔外出跑个高速也是有的。一到高速上它就像是脱缰的马儿一样～	5
车子的空间是我使用起来最满意的也是一大卖点，	5
由于我的身材比较壮（181高210重）我都可以轻松在前后排找到舒适的坐姿	5
H3的升级版车身尺寸有所增加内饰改进许多，	5
很多H3不成熟的地方在H5上都提高了，	5
总体来说H5从价格及做工相对同价位的车中属极品。	5
很划算，值得一买。	5
外型，使用两年多后，感觉比较意外，比想象的要好	5
